condition,node_id,depth,is_leaf,feature_index,feature,feature_group,threshold,left_child,right_child,impurity,weighted_samples,predicted_class,class_weights
C_DECISION_TREE,14,7,True,,,,,,,0.46918282840694514,29.127895861448497,3,0.035046587|0|0.661392|0.30356141
C_DECISION_TREE,15,7,True,,,,,,,0.21787232850963534,6.732343679712099,4,0|0|0.12441534|0.87558466
C_DECISION_TREE,16,6,True,,,,,,,0.0,6.6315789473684195,4,0|0|0|1
C_DECISION_TREE,17,4,False,304.0,views_within_platform_percentile,engagement_or_format,0.34416328370571136,18.0,19.0,0.1309648583380929,11.890238416554203,4,0|0|0.070444915|0.92955508
C_DECISION_TREE,18,5,True,,,,,,,0.3446502086096108,3.784975258659469,4,0|0|0.22129784|0.77870216
C_DECISION_TREE,19,5,True,,,,,,,0.0,8.105263157894735,4,0|0|0|1
C_DECISION_TREE,20,3,False,305.0,duration_sec_within_platform_percentile,engagement_or_format,0.3380323797464371,21.0,26.0,0.7094227851191106,57.22718026951434,2,0.14270608|0.40950441|0.19027478|0.25751473
C_DECISION_TREE,21,4,False,270.0,time,textual,0.047472212463617325,22.0,25.0,0.5164711788673619,15.625421727395409,4,0.06533157|0|0.32163234|0.61303609
C_DECISION_TREE,22,5,False,36.0,brain,textual,0.06988546438515186,23.0,24.0,0.28524441236080633,11.437387539361222,4,0.089254065|0|0.073234105|0.83751183
C_DECISION_TREE,23,6,True,,,,,,,0.5995459669059217,4.068966486729645,4,0.25088271|0|0.20585248|0.54326481
C_DECISION_TREE,24,6,True,,,,,,,1.1102230246251565e-16,7.368421052631577,4,0|0|0|1
C_DECISION_TREE,25,5,True,,,,,,,1.2212453270876722e-15,4.188034188034188,3,0|0|1|0
C_DECISION_TREE,26,4,False,303.0,comments_within_platform_percentile,engagement_or_format,0.38530927896499634,27.0,28.0,0.6179400755081119,41.60175854211895,2,0.17176758|0.56331231|0.1409375|0.12398261
C_DECISION_TREE,27,5,True,,,,,,,0.5925018767473973,6.31216261808367,1,0.48517445|0|0.39809185|0.1167337
C_DECISION_TREE,28,5,False,225.0,sense,textual,0.04173421859741211,29.0,32.0,0.5209129615825484,35.28959592403528,2,0.11570927|0.66407058|0.094940938|0.12527921
C_DECISION_TREE,29,6,False,141.0,just,textual,0.11952247843146324,30.0,31.0,0.4169748054855631,31.321394169649317,2,0.097776618|0.74820369|0.10696929|0.047050403
C_DECISION_TREE,30,7,True,,,,,,,0.245759418744259,24.636472207553442,2,0.041435857|0.86474831|0.033998652|0.059817177
C_DECISION_TREE,31,7,True,,,,,,,0.6638614166130204,6.684921962095874,3,0.30541369|0.31869254|0.37589377|0
C_DECISION_TREE,32,6,True,,,,,,,0.3821481617275685,3.9682017543859645,4,0.25725338|0|0|0.74274662
C_DECISION_TREE,33,2,False,175.0,means,textual,0.02110081911087036,34.0,41.0,0.6653246571619179,34.6568385847562,2,0.23564373|0.49177822|0.14501153|0.12756653
C_DECISION_TREE,34,3,False,154.0,like,textual,0.015791870653629303,35.0,36.0,0.7356132174900016,24.004664671712725,1,0.34021165|0.2662526|0.20936102|0.18417473
C_DECISION_TREE,35,4,True,,,,,,,0.4587401628523111,9.087351356373096,2,0.11233563|0.70331872|0.18434565|0
C_DECISION_TREE,36,4,False,110.0,going,textual,0.030234171077609062,37.0,38.0,0.6322500883539401,14.917313315339634,1,0.47902951|0|0.22459992|0.29637057
C_DECISION_TREE,37,5,True,,,,,,,0.19170307643799867,6.8618421052631575,1,0.89261745|0|0|0.10738255
C_DECISION_TREE,38,5,False,287.0,want,textual,0.11632669344544411,39.0,40.0,0.6017779957375645,8.055471210076472,4,0.12672546|0|0.41591947|0.45735506
C_DECISION_TREE,39,6,True,,,,,,,0.5668561086203953,4.270495951417003,3,0.23904327|0|0.58841421|0.17254251
C_DECISION_TREE,40,6,True,,,,,,,0.3446502086096108,3.784975258659469,4,0|0|0.22129784|0.77870216
C_DECISION_TREE,41,3,True,,,,,,,0.0,10.652173913043478,2,0|1|0|0
C_DECISION_TREE,42,1,False,253.0,symptoms,textual,0.16354601830244064,43.0,56.0,0.6568954917002687,88.45818909034011,1,0.41545051|0.3853454|0.13256541|0.066638679
C_DECISION_TREE,43,2,False,200.0,person,textual,0.032223984599113464,44.0,55.0,0.6119159377437771,55.70687867941873,2,0.29320137|0.5354112|0.10525178|0.066135648
C_DECISION_TREE,44,3,False,264.0,things,textual,0.0945032387971878,45.0,54.0,0.5742006258798305,49.765105175145216,2,0.22564338|0.59933736|0.10098725|0.074032005
C_DECISION_TREE,45,4,False,286.0,video,textual,0.04531284049153328,46.0,53.0,0.5175346980144723,44.94492973654872,2,0.15899087|0.66361405|0.11181775|0.065577328
C_DECISION_TREE,46,5,False,300.0,certainty_score,handcrafted_linguistic,1.2307808995246887,47.0,50.0,0.40482399311289274,36.70386180054372,2,0.11125078|0.75457052|0.11410337|0.020075329
C_DECISION_TREE,47,6,False,150.0,let,textual,0.027356714010238647,48.0,49.0,0.6403135340242813,13.825065031586773,2,0.29535726|0.46229832|0.24234442|0
C_DECISION_TREE,48,7,True,,,,,,,0.4380083316802219,9.453804347826088,2,0.32394366|0.67605634|0|0
C_DECISION_TREE,49,7,True,,,,,,,0.35799060561511775,4.371260683760683,3,0.23353293|0|0.76646707|0
C_DECISION_TREE,50,6,False,7.0,actually,textual,0.022983187809586525,51.0,52.0,0.13052053670561636,22.878796768956953,2,0|0.93118305|0.036610616|0.032206331
C_DECISION_TREE,51,7,True,,,,,,,0.0,14.91304347826087,2,0|1|0|0
C_DECISION_TREE,52,7,True,,,,,,,0.33662485326550806,7.965753290696083,2,0|0.80234776|0.10515099|0.092501246
C_DECISION_TREE,53,5,True,,,,,,,0.7127937455579334,8.241067936005006,1,0.37161446|0.25851441|0.10163814|0.26823299
C_DECISION_TREE,54,4,True,,,,,,,0.25899630816666197,4.820175438596491,1,0.84713376|0|0|0.15286624
C_DECISION_TREE,55,3,True,,,,,,,0.24219371615983365,5.941773504273503,1,0.85903084|0|0.14096916|0
C_DECISION_TREE,56,2,False,139.0,issues,textual,0.06517340242862701,57.0,62.0,0.5578612538163653,32.75131041092139,1,0.62338473|0.13009768|0.17902331|0.067494286
C_DECISION_TREE,57,3,False,305.0,duration_sec_within_platform_percentile,engagement_or_format,0.1275903321802616,58.0,59.0,0.46024027000904955,28.66404095523088,1,0.71227454|0.1486486|0.087664559|0.051412298
C_DECISION_TREE,58,4,True,,,,,,,0.7166786133985872,5.462559164075182,2,0.18687822|0.39000672|0.15333598|0.26977908
C_DECISION_TREE,59,4,False,300.0,certainty_score,handcrafted_linguistic,1.431901454925537,60.0,61.0,0.28750287133547436,23.201481791155697,1,0.8359739|0.091823221|0.072202874|0
C_DECISION_TREE,60,5,True,,,,,,,-8.881784197001252e-16,14.29166666666667,1,1|0|0|0
C_DECISION_TREE,61,5,True,,,,,,,0.5792946729640225,8.909815124489036,1,0.5728701|0.239111|0.1880189|0
C_DECISION_TREE,62,3,True,,,,,,,0.29555485385837243,4.0872694556905085,3,0|0|0.81972265|0.18027735
