condition,class_label,intercept
B_LOGISTIC_REGRESSION,1,0.2708564922931796
B_LOGISTIC_REGRESSION,2,-0.29833852911964254
B_LOGISTIC_REGRESSION,3,0.0756159526462136
B_LOGISTIC_REGRESSION,4,-0.048133915819785766
