condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
B_DECISION_TREE,60,2,16,3,False,say,textual,0.0,<=,0.044601812958717346
B_DECISION_TREE,60,2,17,4,False,different,textual,0.0,<=,0.03894618898630142
B_DECISION_TREE,60,2,18,5,False,hedge_score,handcrafted_linguistic,4.568527698516846,>,1.8990384340286255
B_DECISION_TREE,60,2,20,6,True,,,,leaf,
B_DECISION_TREE,68,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,68,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,68,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,68,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,68,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,68,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,68,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
B_DECISION_TREE,68,1,7,7,True,,,,leaf,
B_DECISION_TREE,74,3,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,74,3,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,74,3,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,74,3,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,74,3,4,4,False,dopamine,textual,0.144639253616333,>,0.07126924395561218
B_DECISION_TREE,74,3,10,5,False,better,textual,0.0,<=,0.028503455221652985
B_DECISION_TREE,74,3,11,6,False,just,textual,0.0959264263510704,<=,0.106374841183424
B_DECISION_TREE,74,3,12,7,True,,,,leaf,
B_DECISION_TREE,75,2,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,75,2,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,75,2,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,75,2,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,75,2,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,75,2,5,5,False,adults,textual,0.21125803887844086,>,0.034870099276304245
B_DECISION_TREE,75,2,9,6,True,,,,leaf,
B_DECISION_TREE,76,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,76,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,76,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,76,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,76,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,76,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,76,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
B_DECISION_TREE,76,1,7,7,True,,,,leaf,
B_DECISION_TREE,91,2,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,91,2,1,1,False,talking,textual,0.25049740076065063,>,0.022087890654802322
B_DECISION_TREE,91,2,23,2,False,going,textual,0.0,<=,0.030234171077609062
B_DECISION_TREE,91,2,24,3,True,,,,leaf,
B_DECISION_TREE,92,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
B_DECISION_TREE,92,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,92,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,92,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,92,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,92,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
B_DECISION_TREE,92,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
B_DECISION_TREE,92,1,7,7,True,,,,leaf,
B_DECISION_TREE,105,2,0,0,False,symptoms,textual,0.07115840911865234,<=,0.0940028764307499
B_DECISION_TREE,105,2,1,1,False,talking,textual,0.0,<=,0.022087890654802322
B_DECISION_TREE,105,2,2,2,False,way,textual,0.0,<=,0.07509763911366463
B_DECISION_TREE,105,2,3,3,False,away,textual,0.0,<=,0.05768333934247494
B_DECISION_TREE,105,2,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
B_DECISION_TREE,105,2,5,5,False,adults,textual,0.050411831587553024,>,0.034870099276304245
