condition,node_id,depth,is_leaf,feature_index,feature,feature_group,threshold,left_child,right_child,impurity,weighted_samples,predicted_class,class_weights
A_DECISION_TREE,0,0,False,253.0,symptoms,textual,0.0940028764307499,1.0,42.0,0.7500000000000004,392.0000000000007,4,0.25|0.25|0.25|0.25
A_DECISION_TREE,1,1,False,256.0,talking,textual,0.022087890654802322,2.0,33.0,0.7420930360655242,303.54181090966,4,0.20178439|0.21055763|0.2842228|0.30343518
A_DECISION_TREE,2,2,False,288.0,way,textual,0.07509763911366463,3.0,20.0,0.7329935654541813,268.88497232490386,4,0.19742023|0.17431084|0.30216588|0.32610305
A_DECISION_TREE,3,3,False,27.0,away,textual,0.05768333934247494,4.0,17.0,0.713422312719719,211.65779205538954,4,0.21221362|0.11072015|0.33241854|0.34464769
A_DECISION_TREE,4,4,False,78.0,dopamine,textual,0.07126924395561218,5.0,12.0,0.7185743421650146,199.7675536388353,3,0.22484465|0.11731025|0.34801131|0.30983378
A_DECISION_TREE,5,5,False,17.0,adults,textual,0.034870099276304245,6.0,9.0,0.7347701879106645,157.27573515030633,3,0.27910112|0.14900444|0.3142176|0.25767685
A_DECISION_TREE,6,6,False,263.0,thing,textual,0.0608743317425251,7.0,8.0,0.7083162622331417,132.90793752078096,3,0.28418794|0.080147011|0.35292085|0.28274419
A_DECISION_TREE,7,7,True,,,,,,,0.7134767347944907,103.6294849791704,1,0.3644796|0.10279096|0.29097748|0.24175196
A_DECISION_TREE,8,7,True,,,,,,,0.48958412037162713,29.27845254161044,3,0|0|0.57216606|0.42783394
A_DECISION_TREE,9,6,False,7.0,actually,textual,0.06933196261525154,10.0,11.0,0.6363830358896478,24.367797629525317,2,0.25135632|0.52456972|0.10312054|0.12095342
A_DECISION_TREE,10,7,True,,,,,,,0.707075251719532,15.10921639382738,1,0.40538171|0.28200467|0.16631045|0.14630317
A_DECISION_TREE,11,7,True,,,,,,,0.14650207732187115,9.25858123569794,2,0|0.92041522|0|0.079584775
A_DECISION_TREE,12,5,False,284.0,ve,textual,0.0884406752884388,13.0,16.0,0.5227147469717597,42.491818488528985,4,0.024024233|0|0.47309258|0.50288319
A_DECISION_TREE,13,6,False,95.0,feel,textual,0.08371401578187943,14.0,15.0,0.5160570641790307,35.86023954116058,3,0.028466997|0|0.56058087|0.41095214
A_DECISION_TREE,14,7,True,,,,,,,0.4691828284069448,29.127895861448497,3,0.035046587|0|0.661392|0.30356141
A_DECISION_TREE,15,7,True,,,,,,,0.21787232850963534,6.732343679712099,4,0|0|0.12441534|0.87558466
A_DECISION_TREE,16,6,True,,,,,,,0.0,6.6315789473684195,4,0|0|0|1
A_DECISION_TREE,17,4,False,144.0,know,textual,0.11225903034210205,18.0,19.0,0.1309648583380929,11.890238416554203,4,0|0|0.070444915|0.92955508
