condition,row_index,predicted_class,node_id,depth,is_leaf,feature,feature_group,transformed_value,operator,threshold
A_DECISION_TREE,2,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,2,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,2,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,2,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,2,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,2,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,2,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
A_DECISION_TREE,2,1,7,7,True,,,,leaf,
A_DECISION_TREE,9,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,9,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,9,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,9,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,9,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,9,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,9,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
A_DECISION_TREE,9,1,7,7,True,,,,leaf,
A_DECISION_TREE,16,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,16,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,16,1,2,2,False,way,textual,0.05993941053748131,<=,0.07509763911366463
A_DECISION_TREE,16,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,16,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,16,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,16,1,6,6,False,thing,textual,0.06072431430220604,<=,0.0608743317425251
A_DECISION_TREE,16,1,7,7,True,,,,leaf,
A_DECISION_TREE,27,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,27,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,27,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,27,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,27,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,27,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,27,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
A_DECISION_TREE,27,1,7,7,True,,,,leaf,
A_DECISION_TREE,34,1,0,0,False,symptoms,textual,0.21916575729846954,>,0.0940028764307499
A_DECISION_TREE,34,1,42,1,False,symptoms,textual,0.21916575729846954,>,0.16354601830244064
A_DECISION_TREE,34,1,56,2,False,issues,textual,0.0,<=,0.06517340242862701
A_DECISION_TREE,34,1,57,3,False,adhd,textual,0.24613213539123535,>,0.16348376125097275
A_DECISION_TREE,34,1,61,4,False,adhd,textual,0.24613213539123535,>,0.21589282155036926
A_DECISION_TREE,34,1,63,5,True,,,,leaf,
A_DECISION_TREE,39,3,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,39,3,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,39,3,2,2,False,way,textual,0.08758112788200378,>,0.07509763911366463
A_DECISION_TREE,39,3,20,3,False,say,textual,0.10219527781009674,>,0.044601812958717346
A_DECISION_TREE,39,3,30,4,False,lot,textual,0.16868406534194946,>,0.05592464841902256
A_DECISION_TREE,39,3,32,5,True,,,,leaf,
A_DECISION_TREE,42,4,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,42,4,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,42,4,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,42,4,3,3,False,away,textual,0.1291894018650055,>,0.05768333934247494
A_DECISION_TREE,42,4,17,4,False,know,textual,0.198582261800766,>,0.11225903034210205
A_DECISION_TREE,42,4,19,5,True,,,,leaf,
A_DECISION_TREE,45,2,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,45,2,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,45,2,2,2,False,way,textual,0.0887807235121727,>,0.07509763911366463
A_DECISION_TREE,45,2,20,3,False,say,textual,0.0,<=,0.044601812958717346
A_DECISION_TREE,45,2,21,4,False,different,textual,0.0,<=,0.03894618898630142
A_DECISION_TREE,45,2,22,5,False,know,textual,0.0,<=,0.08323932439088821
A_DECISION_TREE,45,2,23,6,False,like,textual,0.0,<=,0.1413813754916191
A_DECISION_TREE,45,2,24,7,True,,,,leaf,
A_DECISION_TREE,49,1,0,0,False,symptoms,textual,0.0,<=,0.0940028764307499
A_DECISION_TREE,49,1,1,1,False,talking,textual,0.0,<=,0.022087890654802322
A_DECISION_TREE,49,1,2,2,False,way,textual,0.0,<=,0.07509763911366463
A_DECISION_TREE,49,1,3,3,False,away,textual,0.0,<=,0.05768333934247494
A_DECISION_TREE,49,1,4,4,False,dopamine,textual,0.0,<=,0.07126924395561218
A_DECISION_TREE,49,1,5,5,False,adults,textual,0.0,<=,0.034870099276304245
A_DECISION_TREE,49,1,6,6,False,thing,textual,0.0,<=,0.0608743317425251
