condition,fold,class_label,feature_index,feature,feature_group,weight_type,weight,absolute_weight,direction,absolute_rank,positive_rank,negative_rank,ranking_view
C_LOGISTIC_REGRESSION,final_training_fit,1,133,impulsivity,textual,coefficient,1.9150831646119746,1.9150831646119746,positive,28,15,,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,210,real,textual,coefficient,1.8778799560783777,1.8778799560783777,positive,32,16,,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,271,times,textual,coefficient,1.8116863687223954,1.8116863687223954,positive,35,17,,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,75,doing,textual,coefficient,1.769577801366434,1.769577801366434,positive,36,18,,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,273,trouble,textual,coefficient,1.6460856139833924,1.6460856139833924,positive,43,19,,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,209,quickly,textual,coefficient,1.6370390720739412,1.6370390720739412,positive,44,20,,largest_positive
C_LOGISTIC_REGRESSION,final_training_fit,1,262,test,textual,coefficient,-2.9047672119778896,2.9047672119778896,negative,4,,1,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,186,need,textual,coefficient,-2.842446610108296,2.842446610108296,negative,5,,2,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,65,diet,textual,coefficient,-2.7972792908856055,2.7972792908856055,negative,6,,3,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,276,type,textual,coefficient,-2.5194064068184643,2.5194064068184643,negative,9,,4,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,111,good,textual,coefficient,-2.4805405319480944,2.4805405319480944,negative,12,,5,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,78,dopamine,textual,coefficient,-2.476233370493493,2.476233370493493,negative,13,,6,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,295,worse,textual,coefficient,-2.4717843776785764,2.4717843776785764,negative,14,,7,largest_negative
C_LOGISTIC_REGRESSION,final_training_fit,1,284,ve,textual,coefficient,-2.211593149492438,2.211593149492438,negative,19,,8,largest_negative
