fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.31025558071821413,0.44871794871794873,0.4031339031339031,0.9743589743589743,"{""classifier__alpha"": 10.0}"
2,0.4802370548942796,0.4810126582278481,0.4063388710077503,0.8481012658227848,"{""classifier__alpha"": 10.0}"
3,0.4449044065580914,0.3670886075949367,0.3416537182595316,0.9240506329113924,"{""classifier__alpha"": 0.1}"
4,0.26350835061674494,0.4358974358974359,0.39345050130817366,1.0128205128205128,"{""classifier__alpha"": 10.0}"
5,0.4436580780714364,0.47435897435897434,0.4212121212121212,0.8589743589743589,"{""classifier__alpha"": 10.0}"
