fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.32507634882931813,0.46153846153846156,0.45490100424310953,0.9358974358974359,"{""classifier__alpha"": 1.0}"
2,0.36712822961430325,0.45569620253164556,0.43388981162879026,0.9240506329113924,"{""classifier__alpha"": 1.0}"
3,0.42060228914323805,0.3924050632911392,0.3852926943386962,0.9113924050632911,"{""classifier__alpha"": 10.0}"
4,0.3015179643988205,0.4230769230769231,0.40632885632885635,1.0,"{""classifier__alpha"": 10.0}"
5,0.3929608549192707,0.3333333333333333,0.33717948717948715,0.9743589743589743,"{""classifier__alpha"": 1.0}"
