fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.015215280025898226,0.3076923076923077,0.23328305681246858,1.3076923076923077,"{""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 2}"
2,0.4104477611940298,0.2911392405063291,0.2584954702846257,0.9113924050632911,"{""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 10}"
3,0.20999999999999996,0.31645569620253167,0.2547793534469084,1.0632911392405062,"{""classifier__max_depth"": 7, ""classifier__min_samples_leaf"": 10}"
4,0.14869888475836435,0.358974358974359,0.32774490466798156,1.2692307692307692,"{""classifier__max_depth"": 7, ""classifier__min_samples_leaf"": 5}"
5,0.17786561264822132,0.2564102564102564,0.17564102564102566,0.9743589743589743,"{""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 2}"
