fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_epoch
1,0.4559946861507804,0.5,0.47320729126474687,0.8205128205128205,3
2,0.47135477811692883,0.4936708860759494,0.4762230922878726,0.7848101265822784,4
3,0.3643360487780499,0.3924050632911392,0.35125863803216156,1.0,2
4,0.4121548293741709,0.358974358974359,0.3465934734060589,0.9358974358974359,4
5,0.4341456543175095,0.47435897435897434,0.45771221532091094,0.7564102564102564,4
