population,label,feature,count,mean,sample_std,minimum,q1,median,q3,maximum
full_labelled_sample,1,certainty_score,120,1.502297212777918,1.3822944044639343,0.0,0.28195488721804507,1.2725358954982187,2.346047794117647,6.382978723404255
full_labelled_sample,1,hedge_score,120,2.7595073698227424,1.7508229788485739,0.0,1.563366925924805,2.5032073276247875,3.735949417904456,9.195402298850574
full_labelled_sample,1,likes_within_platform_percentile,120,0.42834362185870606,0.28727557862610414,0.002016128972172737,0.187242791056633,0.36661605536937714,0.6584362387657166,0.9979838728904724
full_labelled_sample,1,comments_within_platform_percentile,120,0.43942355033941566,0.2926160928223563,0.006048386916518211,0.10534689202904701,0.3827160596847534,0.7057613134384155,0.9858871102333069
full_labelled_sample,1,views_within_platform_percentile,120,0.443553779454669,0.2834125792392313,0.002057613106444478,0.20679011940956116,0.4156378507614136,0.673868328332901,0.9979838728904724
full_labelled_sample,1,duration_sec_within_platform_percentile,120,0.48807904470401503,0.2846553684445322,0.002016128972172737,0.22427983209490776,0.46296295523643494,0.7380982041358948,0.9732510447502136
full_labelled_sample,2,certainty_score,58,1.4294156914614593,1.210386170810455,0.0,0.5482625482625483,1.2384019630396441,2.1741036205838524,4.918032786885246
full_labelled_sample,2,hedge_score,58,2.2079146817588513,1.816125174165161,0.0,0.8870681232791544,1.9950248756218905,3.097186333620442,11.0
full_labelled_sample,2,likes_within_platform_percentile,58,0.5198684697970748,0.31079316440904037,0.01411290280520916,0.21399176865816116,0.5432098507881165,0.7479424029588699,0.9979423880577087
full_labelled_sample,2,comments_within_platform_percentile,58,0.5089939033355693,0.30308639422210737,0.006048386916518211,0.22633744776248932,0.5325691998004913,0.7386831045150757,0.9979423880577087
full_labelled_sample,2,views_within_platform_percentile,58,0.5115147118520891,0.31258405000127376,0.01440329197794199,0.20884773880243301,0.5576131641864777,0.7798354029655457,0.9979423880577087
full_labelled_sample,2,duration_sec_within_platform_percentile,58,0.548168372061778,0.2823369079955464,0.002057613106444478,0.3333333432674408,0.5617283880710602,0.7772633880376816,0.9938271641731262
full_labelled_sample,3,certainty_score,147,1.6295572371303357,1.1904883067731356,0.0,0.6711711711711712,1.4705882352941178,2.4023125996810206,6.25
full_labelled_sample,3,hedge_score,147,1.9967230031240772,1.4330774989048265,0.0,1.0459908236836355,1.8633540372670807,2.837022132796781,9.195402298850574
full_labelled_sample,3,likes_within_platform_percentile,147,0.5433331444530057,0.28226104650369693,0.006048386916518211,0.3177311420440674,0.5576131939888,0.7842368483543396,0.9938271641731262
full_labelled_sample,3,comments_within_platform_percentile,147,0.5369288955821472,0.27016485214566727,0.006048386916518211,0.33295583724975586,0.5463709831237793,0.7701612710952759,0.9938271641731262
full_labelled_sample,3,views_within_platform_percentile,147,0.5339422080044945,0.28361224749189756,0.010288066230714321,0.27419355511665344,0.5534979701042175,0.7840294539928436,0.9938271641731262
full_labelled_sample,3,duration_sec_within_platform_percentile,147,0.501990336151857,0.2829762215765641,0.012345679104328156,0.2739488035440445,0.47379031777381897,0.7308467626571655,0.9979423880577087
full_labelled_sample,4,certainty_score,166,1.7096683289649617,1.3919610138383787,0.0,0.734012419653557,1.4881084193276939,2.2870333339129525,6.8493150684931505
full_labelled_sample,4,hedge_score,166,2.034707402554736,1.3826613250169357,0.0,1.0275438846867417,1.7785325882299778,2.7567547112692043,7.079646017699115
full_labelled_sample,4,likes_within_platform_percentile,166,0.5064844689724675,0.2810377388284055,0.010080644860863686,0.2651209607720375,0.5181451439857483,0.7419354915618896,0.9939516186714172
full_labelled_sample,4,comments_within_platform_percentile,166,0.5079456611974053,0.29135592927827747,0.016129031777381897,0.24495968222618103,0.49997925758361816,0.7631048262119293,0.9979838728904724
full_labelled_sample,4,views_within_platform_percentile,166,0.5067240276138287,0.28579270750117813,0.002016128972172737,0.2782258093357086,0.5120967626571655,0.7461730688810349,0.9939516186714172
full_labelled_sample,4,duration_sec_within_platform_percentile,166,0.49002511386411735,0.2999208287086241,0.008064515888690948,0.21421371400356293,0.4969758093357086,0.7615927308797836,0.9939516186714172
training_only,1,certainty_score,96,1.4370891677769417,1.367798855538273,0.0,0.0,1.2632082831004894,2.320041546242775,6.382978723404255
