row_index,label,certainty_score,hedge_score,likes_within_platform_percentile,comments_within_platform_percentile,views_within_platform_percentile,duration_sec_within_platform_percentile,record_id,platform,content_group
28,3,2.2099447513812156,1.1049723756906078,0.34773663,0.36625513,0.24074075,0.5781893,youtube:000028,youtube,0c62d88e126960c3934d6d024e2c48a0dbe4532fe73b141962c737f9bc6058d6
29,2,0.0,1.639344262295082,0.6563786,0.60082304,0.5946502,0.54526746,youtube:000029,youtube,6e9e137fc48ed2d179126dc51c6c84abcee50118d43b4eaa8439b92c2fc78476
30,4,0.0,3.5398230088495577,0.5123457,0.4526749,0.47530866,0.54526746,youtube:000030,youtube,bf416c9e8ad86d8e744c489e6fcf4afa65186d15cf27909213285443ced39249
31,1,0.0,4.4692737430167595,0.23045267,0.22633745,0.28189301,0.909465,youtube:000031,youtube,a3c10088eccf39e6943f0947e2d308b7cdc30adae0491e38ded8fecb808fc5b5
32,1,0.6451612903225806,1.2903225806451613,0.39300412,0.58436215,0.49176955,0.22839506,youtube:000032,youtube,b0dc902bcbd8c6ef136a42712109816507d2b24a33e3bdcac575b5c9c2e5e697
33,1,0.0,6.172839506172839,0.7798354,0.82098764,0.80452675,0.21193415,youtube:000033,youtube,5e7ed648fccdb11e7d6cfe26faf33db7dc3b6ae282fa29e3fcb6f7270c23a9d2
34,3,0.5952380952380952,2.9761904761904763,0.6646091,0.62139916,0.55349797,0.50617284,youtube:000034,youtube,0c00ad69747e9b6b38d2eaec8e052f60c3cded5bc403e0a55a732b7042dffce8
35,1,2.504816955684008,1.5414258188824663,0.40946501,0.30246913,0.2777778,0.9650206,youtube:000035,youtube,53425924bf85e9af5ace7c17ab6f8cdabcc5ff56d1220541a6f086ffdddb464d
36,1,3.10077519379845,1.1627906976744187,0.9609054,0.9855967,0.9609054,0.89917696,youtube:000036,youtube,c3123ed9f931966ab1a8e2af0287191d738c95bf0858b8d8db7c8c1ee4ae4b0e
37,3,3.8461538461538463,1.9230769230769231,0.24074075,0.100823045,0.24485597,0.037037037,youtube:000037,youtube,8d1a23e2910c9293bec8e35949a684ddb9fcc99b7d2818537cb2c7568c2d659e
38,2,0.823045267489712,0.823045267489712,0.54115224,0.52469134,0.5781893,0.63786006,youtube:000038,youtube,ee4794d63a3074c34d1b8c51c51158864d9ecd27a6a28872f0f81884f9489998
39,3,2.3923444976076556,2.3923444976076556,0.32304525,0.6111111,0.5164609,0.50617284,youtube:000039,youtube,5c43705e035eb0bd1ca63cf3972e36fa8c3ef809b932d65b87f2b44fccd552e1
40,4,1.9801980198019802,0.9900990099009901,0.18724279,0.54526746,0.16255145,0.012345679,youtube:000040,youtube,ff647feea5c6b83ed9b68e10d659e119af75a68a04df92bf68a2641b0bf0b302
41,4,4.2105263157894735,3.1578947368421053,0.41358024,0.8312757,0.43004116,0.48971194,youtube:000041,youtube,ed8e9ac918944a8e4eebaea1095aeb5669a1db4560d0a4d672625f2c53f7d4af
42,1,1.6216216216216217,0.5405405405405406,0.1255144,0.2674897,0.12139918,0.7057613,youtube:000042,youtube,76a84b1a94a210d54131137d6af7759d262e0f3858b3bbe140b810773ed6e3d6
43,1,0.6451612903225806,5.161290322580645,0.46296296,0.48765433,0.32304525,0.54526746,youtube:000043,youtube,15fd192a1ce1b23d883c7832e321669548b3660d8f17810ebb818317ee201c5d
44,1,0.9523809523809523,5.714285714285714,0.6111111,0.47325101,0.56995887,0.17283951,youtube:000044,youtube,580dae6f5034f5502349ef3ba8d48a6d1a8838966ce6431d42cf7b752ead04be
45,1,2.6737967914438503,2.1390374331550803,0.6481481,0.6399177,0.54526746,0.48971194,youtube:000045,youtube,bd9b62d6eb5847aa5795cb7ad5e93c2cecaa67e230a52cdadd48fe337fbca983
46,1,1.2552301255230125,2.092050209205021,0.30658436,0.38271606,0.20781893,0.89917696,youtube:000046,youtube,aba543ac9c596d1829a18fd002244a0960d7533cb9b3ddc19816f1b747eedfaa
47,3,1.7543859649122806,1.7543859649122806,0.8004115,0.80452675,0.7962963,0.3888889,youtube:000047,youtube,0f77ef4d81a684a784a1fb0f6ea8b08a38058021e48ca3f4f2d3cf044fd519b4
48,3,1.0050251256281406,4.522613065326633,0.8168724,0.78806585,0.77160496,0.7057613,youtube:000048,youtube,7e831539fa27453348e164295654e05282bfd5f11c79ac000cb43da8fab678cf
49,1,1.3333333333333333,6.666666666666667,0.27366254,0.32921812,0.30246913,0.024691358,youtube:000049,youtube,229a7dd8d3b790c0956ec3af27fa03a457550436de1c94991a16c48366bc63ee
50,1,1.0638297872340425,0.0,0.16049382,0.30246913,0.2037037,0.18518518,youtube:000050,youtube,08a08406d222b4f78cd202973e46118289407aa3a5ffccae26552a353f182113
51,1,1.3986013986013985,3.4965034965034967,0.49176955,0.4979424,0.41769546,0.3580247,youtube:000051,youtube,49722e4f7566c6345beed4046b5676ad7c11d474bbf0f2ba4f3df95fe1c7d0b7
52,3,1.9230769230769231,3.2051282051282053,0.5041152,0.44032922,0.45061728,0.33333334,youtube:000052,youtube,b2bb1ba68cc400c9e120dbb468699d7f8dbdb7ef514fd72b3d3bc09f08b643ec
53,1,0.0,1.36986301369863,0.18724279,0.100823045,0.23251028,0.10288066,youtube:000053,youtube,f8a83a11083209e63216c11bd9a12b68a7139a1c75ff0cf5cefcf32e9c5fceb1
54,1,1.2048192771084338,3.6144578313253013,0.6440329,0.75102884,0.75514406,0.08436214,youtube:000054,youtube,1032f662c45fe08aa4c252d408e9c0975899a76700d287701e8d02c6c7b085e9
55,1,2.380952380952381,2.380952380952381,0.8127572,0.75514406,0.9238683,0.057613168,youtube:000055,youtube,eab5290d164df9b7a67206a95a93b0ad85f73b45b76d9b516ac2f4e3a42f5ff3
56,4,4.545454545454546,1.5151515151515151,0.9650206,0.91563785,0.9444444,0.10288066,youtube:000056,youtube,7126aeb862ec04a242486c359b03b31b1cde1a9dae431029ec28b406824a57c4
58,2,1.36986301369863,3.4246575342465753,0.66049385,0.7427983,0.49588478,0.8580247,youtube:000058,youtube,0fdbfd691434410d5fad40876a19804020b2035f2ff31f27c9eafbfb3b549843
