fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.4183142559833508,0.5128205128205128,0.4749034749034749,0.6923076923076923,"{""classifier__alpha"": 1.0}"
2,0.01741293532338295,0.4,0.3791666666666667,1.025,"{""classifier__alpha"": 1.0}"
3,0.00759589821496387,0.3333333333333333,0.31318681318681324,1.0,"{""classifier__alpha"": 1.0}"
4,0.34577199589181784,0.48717948717948717,0.46495726495726497,0.7435897435897436,"{""classifier__alpha"": 1.0}"
5,0.3370786516853933,0.4358974358974359,0.4273504273504273,0.8461538461538461,"{""classifier__alpha"": 1.0}"
