fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.30828764914543694,0.41025641025641024,0.4124111182934712,0.8461538461538461,"{""classifier__alpha"": 10.0}"
2,0.334061135371179,0.425,0.42536507936507933,0.875,"{""classifier__alpha"": 10.0}"
3,-0.05640074211502788,0.3076923076923077,0.30166607585962424,1.0512820512820513,"{""classifier__alpha"": 0.1}"
4,0.23763894212341896,0.48717948717948717,0.4740801197034618,0.7435897435897436,"{""classifier__alpha"": 0.1}"
5,0.2954545454545454,0.3333333333333333,0.34065349854823535,0.9230769230769231,"{""classifier__alpha"": 1.0}"
