fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.3287435456110154,0.28205128205128205,0.25616605616605614,0.8205128205128205,"{""classifier__max_depth"": 7, ""classifier__min_samples_leaf"": 2}"
2,-0.008064516129032473,0.375,0.264,1.15,"{""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 2}"
3,0.05797101449275366,0.1794871794871795,0.2158671737619106,1.358974358974359,"{""classifier__max_depth"": 5, ""classifier__min_samples_leaf"": 10}"
4,0.07069102462271626,0.23076923076923078,0.1346858269935193,0.9743589743589743,"{""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 10}"
5,0.06896551724137934,0.358974358974359,0.3117075232459848,1.0512820512820513,"{""classifier__max_depth"": 3, ""classifier__min_samples_leaf"": 10}"
