fold,quadratic_weighted_kappa,accuracy,weighted_f1,mean_absolute_error,best_parameters
1,0.20369003690036913,0.28205128205128205,0.3292456335934597,1.1025641025641026,"{""classifier__alpha"": 10.0}"
2,0.21658986175115202,0.4,0.40425806451612906,0.95,"{""classifier__alpha"": 1.0}"
3,-0.08577878103837455,0.28205128205128205,0.27547004966359806,1.0769230769230769,"{""classifier__alpha"": 0.1}"
4,0.252193695157621,0.4358974358974359,0.4395698078562529,0.8461538461538461,"{""classifier__alpha"": 1.0}"
5,0.34883720930232553,0.358974358974359,0.3773729194781826,0.8717948717948718,"{""classifier__alpha"": 1.0}"
