platform,label,category,count,proportion,percentage,wilson_ci_low,wilson_ci_high,confidence_level
tiktok,1,Accurate,10,0.04032258064516129,4.032258064516129,0.022047454935716266,0.07262106760357202,0.95
tiktok,2,Slightly misleading,9,0.036290322580645164,3.629032258064516,0.019207866800229744,0.06751915155080669,0.95
tiktok,3,Moderately misleading,84,0.3387096774193548,33.87096774193548,0.282666837452497,0.3996729950174288,0.95
tiktok,4,Highly misleading,145,0.5846774193548387,58.46774193548387,0.5225116044008373,0.6442599835524518,0.95
youtube,1,Accurate,110,0.45267489711934156,45.267489711934154,0.39131226780124323,0.5155105159001478,0.95
youtube,2,Slightly misleading,49,0.20164609053497942,20.16460905349794,0.15602113480962487,0.2565572841774055,0.95
youtube,3,Moderately misleading,63,0.25925925925925924,25.925925925925927,0.20820878095128353,0.3178027709210099,0.95
youtube,4,Highly misleading,21,0.08641975308641975,8.641975308641975,0.05721756567899237,0.1284945875375117,0.95
