condition,label,precision,recall,f1,support
A_LOGISTIC_REGRESSION,1,0.5,0.5,0.5,24
A_LOGISTIC_REGRESSION,2,0.13333333333333333,0.16666666666666666,0.14814814814814814,12
A_LOGISTIC_REGRESSION,3,0.4166666666666667,0.3333333333333333,0.37037037037037035,30
A_LOGISTIC_REGRESSION,4,0.6388888888888888,0.696969696969697,0.6666666666666666,33
A_RIDGE,1,0.4782608695652174,0.4583333333333333,0.46808510638297873,24
A_RIDGE,2,0.16666666666666666,0.25,0.2,12
A_RIDGE,3,0.5217391304347826,0.4,0.4528301886792453,30
A_RIDGE,4,0.6285714285714286,0.6666666666666666,0.6470588235294118,33
A_COMPLEMENT_NB,1,0.5,0.5833333333333334,0.5384615384615384,24
A_COMPLEMENT_NB,2,0.18181818181818182,0.16666666666666666,0.17391304347826086,12
A_COMPLEMENT_NB,3,0.3333333333333333,0.2,0.25,30
A_COMPLEMENT_NB,4,0.5238095238095238,0.6666666666666666,0.5866666666666667,33
A_DECISION_TREE,1,0.2962962962962963,0.6666666666666666,0.41025641025641024,24
A_DECISION_TREE,2,0.1875,0.25,0.21428571428571427,12
A_DECISION_TREE,3,0.4375,0.23333333333333334,0.30434782608695654,30
A_DECISION_TREE,4,0.46153846153846156,0.18181818181818182,0.2608695652173913,33
B_LOGISTIC_REGRESSION,1,0.4583333333333333,0.4583333333333333,0.4583333333333333,24
B_LOGISTIC_REGRESSION,2,0.25,0.3333333333333333,0.2857142857142857,12
B_LOGISTIC_REGRESSION,3,0.52,0.43333333333333335,0.4727272727272727,30
B_LOGISTIC_REGRESSION,4,0.5882352941176471,0.6060606060606061,0.5970149253731343,33
B_RIDGE,1,0.46875,0.625,0.5357142857142857,24
B_RIDGE,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,12
B_RIDGE,3,0.5,0.36666666666666664,0.4230769230769231,30
B_RIDGE,4,0.5757575757575758,0.5757575757575758,0.5757575757575758,33
B_COMPLEMENT_NB,1,0.4827586206896552,0.5833333333333334,0.5283018867924528,24
B_COMPLEMENT_NB,2,0.2,0.16666666666666666,0.18181818181818182,12
B_COMPLEMENT_NB,3,0.3684210526315789,0.23333333333333334,0.2857142857142857,30
B_COMPLEMENT_NB,4,0.5121951219512195,0.6363636363636364,0.5675675675675675,33
B_DECISION_TREE,1,0.32,0.6666666666666666,0.43243243243243246,24
B_DECISION_TREE,2,0.14285714285714285,0.25,0.18181818181818182,12
B_DECISION_TREE,3,0.36363636363636365,0.13333333333333333,0.1951219512195122,30
B_DECISION_TREE,4,0.4117647058823529,0.21212121212121213,0.28,33
C_LOGISTIC_REGRESSION,1,0.38095238095238093,0.3333333333333333,0.35555555555555557,24
C_LOGISTIC_REGRESSION,2,0.23076923076923078,0.25,0.24,12
C_LOGISTIC_REGRESSION,3,0.4444444444444444,0.4,0.42105263157894735,30
C_LOGISTIC_REGRESSION,4,0.5789473684210527,0.6666666666666666,0.6197183098591549,33
C_RIDGE,1,0.34782608695652173,0.3333333333333333,0.3404255319148936,24
C_RIDGE,2,0.17647058823529413,0.25,0.20689655172413793,12
C_RIDGE,3,0.4090909090909091,0.3,0.34615384615384615,30
C_RIDGE,4,0.5675675675675675,0.6363636363636364,0.6,33
C_COMPLEMENT_NB,1,0.4827586206896552,0.5833333333333334,0.5283018867924528,24
C_COMPLEMENT_NB,2,0.2222222222222222,0.16666666666666666,0.19047619047619047,12
C_COMPLEMENT_NB,3,0.4,0.26666666666666666,0.32,30
C_COMPLEMENT_NB,4,0.5121951219512195,0.6363636363636364,0.5675675675675675,33
C_DECISION_TREE,1,0.2777777777777778,0.625,0.38461538461538464,24
C_DECISION_TREE,2,0.15384615384615385,0.16666666666666666,0.16,12
C_DECISION_TREE,3,0.4,0.3333333333333333,0.36363636363636365,30
C_DECISION_TREE,4,0.5714285714285714,0.12121212121212122,0.2,33
D_FROZEN_MINILM,1,0.5172413793103449,0.625,0.5660377358490566,24
D_FROZEN_MINILM,2,0.29411764705882354,0.4166666666666667,0.3448275862068966,12
D_FROZEN_MINILM,3,0.4074074074074074,0.36666666666666664,0.38596491228070173,30
D_FROZEN_MINILM,4,0.5769230769230769,0.45454545454545453,0.5084745762711864,33
E_FINETUNED_BERT,1,0.47368421052631576,0.75,0.5806451612903226,24
E_FINETUNED_BERT,2,0.0,0.0,0.0,12
E_FINETUNED_BERT,3,0.34782608695652173,0.26666666666666666,0.3018867924528302,30
E_FINETUNED_BERT,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,33
BASELINE_MOST_FREQUENT,1,0.0,0.0,0.0,24
BASELINE_MOST_FREQUENT,2,0.0,0.0,0.0,12
BASELINE_MOST_FREQUENT,3,0.0,0.0,0.0,30
BASELINE_MOST_FREQUENT,4,0.3333333333333333,1.0,0.5,33
BASELINE_STRATIFIED_RANDOM,1,0.14285714285714285,0.16666666666666666,0.15384615384615385,24
BASELINE_STRATIFIED_RANDOM,2,0.0,0.0,0.0,12
BASELINE_STRATIFIED_RANDOM,3,0.22727272727272727,0.16666666666666666,0.19230769230769232,30
BASELINE_STRATIFIED_RANDOM,4,0.35135135135135137,0.3939393939393939,0.37142857142857144,33
