class_label,feature,models_in_top_k,mean_reciprocal_rank,mean_absolute_weight,positive_model_count,negative_model_count,contributing_conditions
2,stimulants,2,0.08496732026143791,1.620958436905452,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
2,good,2,0.07291666666666666,1.5205299977943902,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
2,kind,2,0.06904761904761905,1.5122644682577766,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
2,hyperactivity,2,0.058333333333333334,1.4367057285212876,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
2,thoughts,1,1.0,7.062162411741711,1,0,C_COMPLEMENT_NB
2,little bit,1,0.5,7.047024233418782,1,0,C_COMPLEMENT_NB
2,learning,1,0.3333333333333333,6.94670365900417,1,0,C_COMPLEMENT_NB
2,information,1,0.16666666666666666,6.887407586798285,1,0,C_COMPLEMENT_NB
2,hyper,1,0.14285714285714285,6.857642975853234,1,0,C_COMPLEMENT_NB
2,don know,1,0.125,6.853829708662207,1,0,C_COMPLEMENT_NB
2,certain,1,0.1,6.833263552103034,1,0,C_COMPLEMENT_NB
2,based,1,0.08333333333333333,6.815637023820826,1,0,C_COMPLEMENT_NB
2,single,1,0.07692307692307693,6.809014064375494,1,0,C_COMPLEMENT_NB
2,remember,1,0.07142857142857142,2.30720745555909,1,0,C_LOGISTIC_REGRESSION
2,thinking,1,0.07142857142857142,6.805280792854818,1,0,C_COMPLEMENT_NB
2,seven,1,0.06666666666666667,6.80096088868169,1,0,C_COMPLEMENT_NB
2,place,1,0.0625,6.797265438012038,1,0,C_COMPLEMENT_NB
2,best,1,0.058823529411764705,2.2218487739122152,0,1,C_LOGISTIC_REGRESSION
2,differently,1,0.05555555555555555,6.791350840451223,1,0,C_COMPLEMENT_NB
2,high,1,0.05555555555555555,2.1784682399217106,1,0,C_LOGISTIC_REGRESSION
2,problem,1,0.05555555555555555,0.713812579748782,0,1,C_RIDGE
2,care,1,0.05263157894736842,0.7098318380731979,1,0,C_RIDGE
2,just,1,0.05263157894736842,2.1167967687181237,1,0,C_LOGISTIC_REGRESSION
2,meds,1,0.05263157894736842,6.785742803205762,1,0,C_COMPLEMENT_NB
2,activities,1,0.05,6.771125990775705,1,0,C_COMPLEMENT_NB
3,gut,3,0.42083333333333334,3.5436505645323897,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,normal,3,0.37858220211161386,3.5895454561016424,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,cortex,3,0.25,3.5972754684479433,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,alcohol,3,0.13214285714285715,3.4507473769695434,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,point,3,0.11011904761904762,3.441078383810114,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,lower,3,0.10014430014430015,3.4177917834161895,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,example,3,0.06951871657754011,3.334580570668018,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,activity,3,0.06198830409356725,3.3162725378203404,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,taking,2,0.6666666666666666,2.050588293159825,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,important,2,0.5,2.0222067032024698,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,anger,2,0.29166666666666663,4.0780155256324635,2,0,C_COMPLEMENT_NB|C_RIDGE
3,thing,2,0.26666666666666666,1.827629764210343,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,studies,2,0.18055555555555555,1.7991722400191388,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
3,just,2,0.15476190476190477,1.736975078845514,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
3,relationships,2,0.09821428571428571,3.9470536974813744,2,0,C_COMPLEMENT_NB|C_RIDGE
3,food,2,0.07777777777777778,1.5919764961597411,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,school,2,0.05964912280701754,1.499936403442888,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,sensitive,2,0.05625,1.4744046200017547,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,learning,1,0.25,7.245746849719566,1,0,C_COMPLEMENT_NB
3,differently,1,0.16666666666666666,7.190084659080902,1,0,C_COMPLEMENT_NB
3,remember,1,0.1111111111111111,2.454443564872895,0,1,C_LOGISTIC_REGRESSION
3,used,1,0.1111111111111111,7.054111491342259,1,0,C_COMPLEMENT_NB
3,adhders,1,0.1,7.014334444137969,1,0,C_COMPLEMENT_NB
3,problems,1,0.1,0.8275570326581823,0,1,C_RIDGE
3,helpful,1,0.09090909090909091,0.8214281363659373,1,0,C_RIDGE
3,needs,1,0.08333333333333333,2.285175168728081,0,1,C_LOGISTIC_REGRESSION
3,gets,1,0.07692307692307693,6.991389520533457,1,0,C_COMPLEMENT_NB
3,time,1,0.07692307692307693,2.2799024902391105,1,0,C_LOGISTIC_REGRESSION
3,literally,1,0.07142857142857142,6.972995889613364,1,0,C_COMPLEMENT_NB
3,meds,1,0.06666666666666667,6.966727233475056,1,0,C_COMPLEMENT_NB
3,dopamine,1,0.05555555555555555,2.2387007792483424,1,0,C_LOGISTIC_REGRESSION
3,goes,1,0.05555555555555555,6.923521654905247,1,0,C_COMPLEMENT_NB
3,lot people,1,0.05263157894736842,6.914516540830897,1,0,C_COMPLEMENT_NB
3,regulate,1,0.05,6.91049887656611,1,0,C_COMPLEMENT_NB
4,worse,3,0.6862745098039215,3.8729970402267146,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,fucking,3,0.611111111111111,4.031378817809103,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,thought,3,0.3055555555555555,3.6606478835186347,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,away,3,0.18421052631578946,3.4367817529430127,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,avoid,3,0.1537037037037037,3.5332815231502965,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
4,signs,2,0.41666666666666663,2.006768436325542,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
4,feels,2,0.225,1.732584354559465,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,symptoms,2,0.13125,1.6568482956576975,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
4,life,2,0.125,1.6129683324295516,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,say,2,0.10476190476190475,1.4775286251059492,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,diagnosis,2,0.10084033613445378,1.6208817833269265,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
4,stop,2,0.09722222222222221,1.5498308066438093,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,best,2,0.07417582417582418,1.4536992856212032,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,energy,2,0.07045454545454546,1.4142672887903263,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,mind,2,0.06111111111111111,1.4060402396212248,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
4,emotions,2,0.060714285714285714,1.40872187241358,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
4,state,1,0.2,7.241831449113558,1,0,C_COMPLEMENT_NB
4,great,1,0.16666666666666666,7.193754409505726,1,0,C_COMPLEMENT_NB
4,20,1,0.14285714285714285,7.115381750027111,1,0,C_COMPLEMENT_NB
4,adhders,1,0.125,7.1038085393614105,1,0,C_COMPLEMENT_NB
4,single,1,0.1111111111111111,7.101378224790702,1,0,C_COMPLEMENT_NB
4,impulsive,1,0.1,2.3714913665455777,0,1,C_LOGISTIC_REGRESSION
4,needs,1,0.1,7.099632504748742,1,0,C_COMPLEMENT_NB
4,burnout,1,0.09090909090909091,7.076615967807881,1,0,C_COMPLEMENT_NB
4,sleep,1,0.09090909090909091,2.3273793813406587,0,1,C_LOGISTIC_REGRESSION
4,fast,1,0.08333333333333333,0.7221298919368807,0,1,C_RIDGE
4,literally,1,0.08333333333333333,7.07568412751978,1,0,C_COMPLEMENT_NB
4,caffeine,1,0.07692307692307693,7.06008162182037,1,0,C_COMPLEMENT_NB
4,diet,1,0.07692307692307693,0.7200959830972492,0,1,C_RIDGE
4,consequences,1,0.07142857142857142,7.05841994539624,1,0,C_COMPLEMENT_NB
4,meds,1,0.06666666666666667,7.04677042652764,1,0,C_COMPLEMENT_NB
4,eat,1,0.0625,7.035224782634394,1,0,C_COMPLEMENT_NB
4,stress,1,0.0625,2.1484794114045864,1,0,C_LOGISTIC_REGRESSION
4,memory,1,0.058823529411764705,2.1087906241684915,0,1,C_LOGISTIC_REGRESSION
4,certain,1,0.05555555555555555,0.6877262080234303,0,1,C_RIDGE
4,place,1,0.05555555555555555,7.000710058337206,1,0,C_COMPLEMENT_NB
4,helps,1,0.05263157894736842,0.678213135430036,1,0,C_RIDGE
4,morning,1,0.05263157894736842,6.993861369071264,1,0,C_COMPLEMENT_NB
4,completely,1,0.05,6.990902013242742,1,0,C_COMPLEMENT_NB
