label,category,count,proportion,percentage,wilson_ci_low,wilson_ci_high,confidence_level
1,Accurate,120,0.24439918533604887,24.43991853360489,0.20846879824981165,0.28429803539791254,0.95
2,Slightly misleading,58,0.11812627291242363,11.812627291242363,0.09249915607206817,0.1496823683020217,0.95
3,Moderately misleading,147,0.29938900203665986,29.938900203665987,0.26056371349658036,0.3413289806412748,0.95
4,Highly misleading,166,0.3380855397148676,33.80855397148676,0.2976433836816181,0.381041582652996,0.95
