condition,platform_macro_quadratic_weighted_kappa,platform_macro_accuracy,platform_macro_weighted_f1,platform_macro_mean_absolute_error
A_COMPLEMENT_NB,0.3071772402349716,0.44448979591836735,0.4522845744849283,0.8893877551020408
A_DECISION_TREE,0.07969791152628558,0.32448979591836735,0.3544204462249575,1.2691836734693878
A_LOGISTIC_REGRESSION,0.3934638058526043,0.4742857142857143,0.49657655245092935,0.7887755102040817
A_RIDGE,0.36192423330890994,0.48469387755102045,0.5152154421542177,0.8083673469387755
BASELINE_MOST_FREQUENT,0.0,0.3308163265306122,0.21907234735308023,1.280204081632653
BASELINE_STRATIFIED_RANDOM,-0.10150861707990333,0.22081632653061223,0.23827973613687897,1.4583673469387755
B_COMPLEMENT_NB,0.28171560277694646,0.4442857142857143,0.4604589462605234,0.9099999999999999
B_DECISION_TREE,0.1329449476148864,0.3040816326530612,0.3302175729722313,1.2589795918367348
B_LOGISTIC_REGRESSION,0.3764222977158469,0.48469387755102045,0.5161999512448658,0.8385714285714285
B_RIDGE,0.35244204134415347,0.49530612244897965,0.5258952352870974,0.8677551020408163
C_COMPLEMENT_NB,0.287987025524192,0.45448979591836736,0.47212171413447135,0.899795918367347
C_DECISION_TREE,0.06153223161354887,0.3146938775510204,0.32439002267573697,1.2587755102040816
C_LOGISTIC_REGRESSION,0.3426497860881561,0.45408163265306123,0.4790433159233698,0.8693877551020408
C_RIDGE,0.3578064737901779,0.4136734693877551,0.4351037132367162,0.9193877551020408
D_FROZEN_MINILM,0.3121851806004942,0.4648979591836735,0.49693262784489495,0.8483673469387756
E_FINETUNED_BERT,0.4813830941950993,0.48408163265306126,0.46868558306346325,0.7181632653061225
