condition_a,condition_b,metric,mean_a_minus_b,sample_std_a_minus_b,minimum_a_minus_b,maximum_a_minus_b,condition_a_fold_wins,condition_b_fold_wins,ties,higher_is_better,inferential_test_performed
A_LOGISTIC_REGRESSION,A_RIDGE,quadratic_weighted_kappa,-0.0031744133491143577,0.019429090208339536,-0.030404650268648026,0.017292227280055195,3,2,0,True,False
A_LOGISTIC_REGRESSION,A_RIDGE,accuracy,-6.491398896463219e-05,0.015635717055053913,-0.025641025641025716,0.012658227848101278,2,1,2,True,False
A_LOGISTIC_REGRESSION,A_RIDGE,weighted_f1,-0.0021654386427925275,0.015423535579159394,-0.027359872471208524,0.0115986018919631,2,3,0,True,False
A_LOGISTIC_REGRESSION,A_RIDGE,mean_absolute_error,0.002629016553067154,0.022834481763687388,-0.025316455696202667,0.038461538461538436,1,1,3,False,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,quadratic_weighted_kappa,-0.007302293033142726,0.06051920615365595,-0.09955644467760694,0.0472902674547645,2,3,0,True,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,accuracy,-0.023109380071405394,0.06665603117503917,-0.1282051282051282,0.050632911392405056,1,2,2,True,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,weighted_f1,0.009898246477651852,0.04887547076009986,-0.0710314056164259,0.05530028462570097,4,1,0,True,False
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,mean_absolute_error,0.002661473547549509,0.08200431638325603,-0.07594936708860767,0.1282051282051283,3,2,0,False,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,quadratic_weighted_kappa,0.20116754212353993,0.057470185087902845,0.15711938039596376,0.29914417342298,5,0,0,True,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,accuracy,0.11733203505355402,0.02892339827147008,0.08860759493670889,0.15189873417721517,5,0,0,True,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,weighted_f1,0.1460854770819337,0.03628532831488382,0.08547654253600567,0.1745396899546697,5,0,0,True,False
A_LOGISTIC_REGRESSION,A_DECISION_TREE,mean_absolute_error,-0.16874391431353455,0.16196005285443968,-0.3717948717948717,0.012820512820512775,4,1,0,False,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.024269721024551227,0.0774277365239945,-0.1317876946694117,0.07440775518482917,2,3,0,True,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,accuracy,-0.005322947095098984,0.043704611562482794,-0.03846153846153849,0.06329113924050628,2,3,0,True,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,weighted_f1,-0.013585436328985966,0.03643517745075675,-0.051372368486049313,0.04497024775505781,1,4,0,True,False
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,mean_absolute_error,0.030996429730606966,0.07786297004800494,-0.08860759493670889,0.10256410256410264,1,3,1,False,False
A_LOGISTIC_REGRESSION,B_RIDGE,quadratic_weighted_kappa,0.019753263757620453,0.05800455979032332,-0.0488592215254412,0.08669490525309959,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_RIDGE,accuracy,0.005095748133722822,0.0170617779188112,-0.01282051282051283,0.025316455696202556,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_RIDGE,weighted_f1,-0.00046230128184002737,0.018241431213517567,-0.02380341420062071,0.013504762180555019,3,2,0,True,False
A_LOGISTIC_REGRESSION,B_RIDGE,mean_absolute_error,-0.022817267121064643,0.03410545242725632,-0.06329113924050644,0.012820512820512775,3,2,0,False,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.018030303069203012,0.09756340852697978,-0.19041024589904298,0.043868110663658255,4,1,0,True,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,accuracy,-0.018013631937682562,0.06438317538706691,-0.1282051282051282,0.03797468354430378,2,2,1,True,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,weighted_f1,0.00878671532392854,0.06430811175126315,-0.1034373832072445,0.05022355897226527,4,1,0,True,False
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,mean_absolute_error,0.005355404089581284,0.11999308500014384,-0.06410256410256399,0.21794871794871795,4,1,0,False,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,quadratic_weighted_kappa,0.18876489341330785,0.10223614230070237,0.04337537367337296,0.2918113727951471,5,0,0,True,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,accuracy,0.11217137293086658,0.03269254835975396,0.07692307692307693,0.15189873417721517,5,0,0,True,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,weighted_f1,0.15306730729134588,0.041807066407996404,0.0920887138414298,0.2049425560787619,5,0,0,True,False
A_LOGISTIC_REGRESSION,B_DECISION_TREE,mean_absolute_error,-0.17887049659201557,0.16633989596473242,-0.3589743589743589,0.012820512820512775,4,1,0,False,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.005613307843442372,0.051868117288765794,-0.0458634730915512,0.08926825766362079,3,2,0,True,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,accuracy,-9.737098344692052e-05,0.02379000278295798,-0.025641025641025605,0.03797468354430378,1,2,2,True,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,weighted_f1,-0.010594496794522379,0.015046901499216588,-0.0273081812715959,0.006825315288190581,2,3,0,True,False
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,mean_absolute_error,0.015514443362544594,0.04167922329283159,-0.05063291139240511,0.05128205128205132,1,3,1,False,False
