condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,resampling_unit,bootstrap_resamples_requested,bootstrap_seed,higher_is_better
A_RIDGE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.5606390941302497,0.554668135738876,0.29462244298316664,0.8102432560232945,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,A_DECISION_TREE,quadratic_weighted_kappa,0.297303288029128,0.2934214947977916,0.08505937375577297,0.4866445304376305,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.0060365371663684275,0.006077002173393249,-0.1560023922997081,0.17292506782225248,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,B_RIDGE,quadratic_weighted_kappa,0.02428953480407725,0.023709107017878768,-0.15968235805187403,0.2073158273361777,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,B_COMPLEMENT_NB,quadratic_weighted_kappa,0.025475921693454695,0.025367420228585253,-0.017754868049874792,0.09305948902033614,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,B_DECISION_TREE,quadratic_weighted_kappa,0.25943501813920533,0.2562594630829055,0.04189006666979918,0.4619413811270542,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.03339259734049582,0.033863109935459934,-0.14078758205692374,0.21172666337216792,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,C_RIDGE,quadratic_weighted_kappa,0.05265429765534213,0.05280521312535969,-0.11962969975267701,0.2311040564562747,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,0.023002999593772833,0.022881766662082012,-0.02072692984595916,0.09077594191211479,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,C_DECISION_TREE,quadratic_weighted_kappa,0.30475815407513407,0.30076789783371716,0.08790464542888449,0.5019816181342208,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,D_FROZEN_MINILM,quadratic_weighted_kappa,0.011346709565942747,0.009612500604514301,-0.19331849520088737,0.21459851282390346,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.2041935787807162,-0.20507551876429816,-0.3740554146408806,-0.04007729563229794,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.4185323383084577,0.4147462599472845,0.2343339180394763,0.582538451242213,0.95,10000,content_group,10000,42,True
A_COMPLEMENT_NB,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.5269507056553965,0.5216707758530055,0.25944046286566397,0.7824197218151705,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.29126675086275955,-0.2873444926243984,-0.48298992829299664,-0.09088272720732474,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,B_RIDGE,quadratic_weighted_kappa,-0.2730137532250507,-0.26971238777991285,-0.4691224625218717,-0.07168498151308679,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,B_COMPLEMENT_NB,quadratic_weighted_kappa,-0.2718273663356733,-0.2680540745692064,-0.45998449271975045,-0.06412643003639067,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,B_DECISION_TREE,quadratic_weighted_kappa,-0.037868269889922646,-0.037162031714886086,-0.11278205121705473,0.03282793173314803,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.26391069068863215,-0.2595583848623317,-0.47551239812493085,-0.031141833821550044,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,C_RIDGE,quadratic_weighted_kappa,-0.24464899037378585,-0.24061628167243193,-0.470840569095626,-0.001606102143511588,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.27430028843535514,-0.27053972813570965,-0.4626170541633238,-0.06610924649199686,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,C_DECISION_TREE,quadratic_weighted_kappa,0.007454866046006092,0.0073464030359254966,-0.06680777822285526,0.0874939134631184,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.28595657846318523,-0.2838089941932773,-0.46383912148978024,-0.09821892196533527,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.5014968668098442,-0.4984970135620898,-0.6652338288894246,-0.3287706786571778,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.12122905027932973,0.12132476514949285,-0.0276732313035516,0.2730932060115978,0.95,10000,content_group,10000,42,True
A_DECISION_TREE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.2296474176262685,0.22824928105521386,-0.0003997056231911134,0.45518054383099993,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,B_RIDGE,quadratic_weighted_kappa,0.018252997637708823,0.01763210484448552,-0.06685847856970005,0.10503544773423627,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,quadratic_weighted_kappa,0.019439384527086268,0.019290418055191997,-0.15628016414532997,0.1945172479084258,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,B_DECISION_TREE,quadratic_weighted_kappa,0.2533984809728369,0.2501824609095123,0.0467867162127352,0.45074929629059074,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.027356060174127395,0.027786107762066685,-0.15765377567371897,0.212464267951515,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,C_RIDGE,quadratic_weighted_kappa,0.0466177604889737,0.04672821095196644,-0.12055880395810155,0.21861204927227978,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,quadratic_weighted_kappa,0.016966462427404405,0.01680476448868876,-0.15899159653263298,0.19184048042391397,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,C_DECISION_TREE,quadratic_weighted_kappa,0.29872161690876564,0.2946908956603239,0.09066385564452047,0.49379519938108507,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,D_FROZEN_MINILM,quadratic_weighted_kappa,0.00531017239957432,0.0035354984311210514,-0.150144652742061,0.15867711569788395,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.21023011594708463,-0.2111525209376914,-0.39229931449394145,-0.03547139814526902,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.4124958011420893,0.40866925777389124,0.23107478792694394,0.5766148147032915,0.95,10000,content_group,10000,42,True
B_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.520914168489028,0.5155937736796122,0.257052569725968,0.7727467304818662,0.95,10000,content_group,10000,42,True
B_RIDGE,B_COMPLEMENT_NB,quadratic_weighted_kappa,0.0011863868893774443,0.0016583132107064805,-0.1911141351003463,0.19517481441445392,0.95,10000,content_group,10000,42,True
B_RIDGE,B_DECISION_TREE,quadratic_weighted_kappa,0.23514548333512808,0.2325503560650268,0.02956258054831785,0.43668209250595713,0.95,10000,content_group,10000,42,True
B_RIDGE,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.009103062536418571,0.01015400291758117,-0.18021377777790734,0.2004709810790001,0.95,10000,content_group,10000,42,True
B_RIDGE,C_RIDGE,quadratic_weighted_kappa,0.02836476285126488,0.029096106107480927,-0.15791085160217114,0.2229602031109828,0.95,10000,content_group,10000,42,True
B_RIDGE,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.001286535210304418,-0.0008273403557967564,-0.19284296397166384,0.19251800700736493,0.95,10000,content_group,10000,42,True
B_RIDGE,C_DECISION_TREE,quadratic_weighted_kappa,0.2804686192710568,0.27705879081583834,0.07000370988634673,0.4823350356687328,0.95,10000,content_group,10000,42,True
B_RIDGE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.012942825238134503,-0.014096606413364469,-0.15925102682671383,0.1343317410723943,0.95,10000,content_group,10000,42,True
B_RIDGE,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.22848311358479345,-0.22878462578217695,-0.4176613341089381,-0.04188821872056385,0.95,10000,content_group,10000,42,True
B_RIDGE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.39424280350438046,0.3910371529294057,0.2111562002335605,0.5623204322590099,0.95,10000,content_group,10000,42,True
B_RIDGE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.5026611708513192,0.4979616688351267,0.2500537629080877,0.7457052581382679,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,B_DECISION_TREE,quadratic_weighted_kappa,0.23395909644575064,0.2308920428543203,0.020959567354589103,0.4305554657809327,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.007916675647041127,0.008495689706874688,-0.17502099518750439,0.1923006987242612,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,C_RIDGE,quadratic_weighted_kappa,0.027178375961887435,0.02743779289677445,-0.15666633218953713,0.21057888745296,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.0024729220996818624,-0.0024856535665032367,-0.008748853347813808,0.0,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,C_DECISION_TREE,quadratic_weighted_kappa,0.2792822323816794,0.27540047760513187,0.06694373121805366,0.4748957875632761,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.014129212127511948,-0.015754919624070947,-0.20839732918823073,0.18239626293136815,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.2296695004741709,-0.2304429389928834,-0.40161474927034,-0.06507801142688147,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.393056416615003,0.38937883971869924,0.2043451132435441,0.5603581822475444,0.95,10000,content_group,10000,42,True
B_COMPLEMENT_NB,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.5014747839619418,0.49630335562442035,0.23670729411617825,0.7525859688146795,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,-0.2260424207987095,-0.2223963531474456,-0.42914569207094944,-0.0015103552770513223,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,C_RIDGE,quadratic_weighted_kappa,-0.2067807204838632,-0.20345424995754582,-0.418240955919921,0.023928807177902914,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.2364320185454325,-0.23337769642082354,-0.4335363680619819,-0.022893371025010607,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,C_DECISION_TREE,quadratic_weighted_kappa,0.04532313593592874,0.04450843475081159,-0.039199820102183425,0.13550589967035087,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.24808830857326258,-0.24664696247839124,-0.4331496520871569,-0.05362973591080851,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.46362859691992153,-0.46133498184720373,-0.6191167487959023,-0.2979030913421741,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.15909732016925238,0.15848679686437894,0.014451898785193488,0.30570678042216054,0.95,10000,content_group,10000,42,True
B_DECISION_TREE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.26751568751619115,0.2654113127701,0.05492127310572243,0.4823093854861415,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,C_RIDGE,quadratic_weighted_kappa,0.01926170031484631,0.018942103189899757,-0.08743479251108595,0.13988582389053986,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.01038959774672299,-0.010981343273377926,-0.19623996645376807,0.17317620842622142,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,C_DECISION_TREE,quadratic_weighted_kappa,0.27136555673463825,0.26690478789825717,0.03960876260094895,0.48410992472988473,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.022045887774553075,-0.02425060933094564,-0.24045975632282296,0.19247342261472436,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.23758617612121202,-0.2389386286997581,-0.44420254958169736,-0.04319156144227055,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.3851397409679619,0.3808831500118245,0.20284896826832852,0.550464201376785,0.95,10000,content_group,10000,42,True
C_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.49355810831490066,0.48780766591754554,0.2590210803095419,0.7159101101111203,0.95,10000,content_group,10000,42,True
C_RIDGE,C_COMPLEMENT_NB,quadratic_weighted_kappa,-0.029651298061569298,-0.029923446463277686,-0.2142497156203816,0.15403293129852408,0.95,10000,content_group,10000,42,True
C_RIDGE,C_DECISION_TREE,quadratic_weighted_kappa,0.25210385641979194,0.2479626847083574,0.008951715597530703,0.47338558876252573,0.95,10000,content_group,10000,42,True
C_RIDGE,D_FROZEN_MINILM,quadratic_weighted_kappa,-0.04130758808939938,-0.04319271252084539,-0.26393354147445525,0.16992803337449855,0.95,10000,content_group,10000,42,True
C_RIDGE,E_FINETUNED_BERT,quadratic_weighted_kappa,-0.25684787643605833,-0.2578807318896579,-0.4565062057533524,-0.0649906358037341,0.95,10000,content_group,10000,42,True
C_RIDGE,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.3658780406531156,0.3619410468219248,0.17800866708346405,0.5336454289683602,0.95,10000,content_group,10000,42,True
C_RIDGE,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.47429640800005435,0.46886556272764585,0.21817072788304703,0.7155632468188392,0.95,10000,content_group,10000,42,True
