class_label,feature,models_in_top_k,mean_reciprocal_rank,mean_absolute_weight,positive_model_count,negative_model_count,contributing_conditions
2,stuff,1,0.1111111111111111,6.563364278754365,1,0,C_COMPLEMENT_NB
2,diagnostic,1,0.1,6.552282845971751,1,0,C_COMPLEMENT_NB
2,intense,1,0.09090909090909091,6.550749183881913,1,0,C_COMPLEMENT_NB
2,explained,1,0.08333333333333333,6.536127450668488,1,0,C_COMPLEMENT_NB
2,behaviors,1,0.07142857142857142,6.528574847723553,1,0,C_COMPLEMENT_NB
2,actually,1,0.06666666666666667,0.5835418120644523,1,0,C_RIDGE
2,issues,1,0.06666666666666667,1.6642757618361503,1,0,C_LOGISTIC_REGRESSION
2,lack,1,0.06666666666666667,6.527196978236816,1,0,C_COMPLEMENT_NB
2,means,1,0.0625,6.516190184140099,1,0,C_COMPLEMENT_NB
2,little,1,0.058823529411764705,0.5834570278829563,1,0,C_RIDGE
2,unable,1,0.058823529411764705,6.515742354238897,1,0,C_COMPLEMENT_NB
2,improve,1,0.05555555555555555,6.511327757858087,1,0,C_COMPLEMENT_NB
2,mind,1,0.05263157894736842,6.510583764824806,1,0,C_COMPLEMENT_NB
2,way,1,0.05263157894736842,1.5605929524363784,1,0,C_LOGISTIC_REGRESSION
2,adhd women,1,0.05,6.508666812139094,1,0,C_COMPLEMENT_NB
2,struggle,1,0.05,1.5408491934450832,0,1,C_LOGISTIC_REGRESSION
3,low,3,0.7083333333333334,3.5019126080222804,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,levels,3,0.37407407407407406,2.965537628367867,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,treat,3,0.3541666666666667,3.296366700042864,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,called,3,0.21666666666666667,2.9915989176634272,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,example,3,0.07751322751322752,2.9841080092005825,3,0,C_COMPLEMENT_NB|C_LOGISTIC_REGRESSION|C_RIDGE
3,diet,2,0.3333333333333333,1.5654892783091576,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,thing,2,0.225,1.3836468986524777,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,relationships,2,0.20833333333333331,1.3637375256617303,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,important,2,0.18333333333333335,1.3702684027686072,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,works,2,0.15625,3.624369224324332,2,0,C_COMPLEMENT_NB|C_RIDGE
3,long,2,0.10989010989010989,1.263730685076598,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,ll,2,0.10795454545454546,1.2026495677390148,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,rejection,2,0.10084033613445378,1.1148187034557977,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,study,2,0.09166666666666667,1.194161724573903,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,video,2,0.09126984126984126,1.1360726309347569,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
3,type,2,0.07941176470588235,1.1667212678123213,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
3,motivation,2,0.06477732793522267,1.102053877647355,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
3,adhd autism,2,0.059027777777777776,1.0863012271179886,0,2,C_LOGISTIC_REGRESSION|C_RIDGE
3,problem,2,0.05131578947368421,1.0216065039575641,2,0,C_LOGISTIC_REGRESSION|C_RIDGE
3,neurotypical person,1,0.3333333333333333,6.714566689613121,1,0,C_COMPLEMENT_NB
3,helpful,1,0.2,6.628935224503637,1,0,C_COMPLEMENT_NB
3,explain,1,0.16666666666666666,6.625157114017573,1,0,C_COMPLEMENT_NB
3,natural,1,0.14285714285714285,6.609989892414071,1,0,C_COMPLEMENT_NB
3,getting,1,0.125,1.887299277087711,0,1,C_LOGISTIC_REGRESSION
3,world,1,0.1111111111111111,6.60462881291186,1,0,C_COMPLEMENT_NB
3,neurotypical,1,0.1,6.593161951675598,1,0,C_COMPLEMENT_NB
3,point,1,0.09090909090909091,6.579619141873192,1,0,C_COMPLEMENT_NB
3,sugar,1,0.09090909090909091,0.6360683083288633,1,0,C_RIDGE
