condition_a,condition_b,metric,observed_a_minus_b,bootstrap_mean_a_minus_b,ci_low,ci_high,confidence_level,valid_resamples,higher_is_better
A_LOGISTIC_REGRESSION,A_RIDGE,quadratic_weighted_kappa,0.14256155466035558,0.1431433606144298,-0.08757888514901943,0.3809673116649946,0.95,10000,True
A_LOGISTIC_REGRESSION,A_COMPLEMENT_NB,quadratic_weighted_kappa,0.15118652547345446,0.1556070176556282,-0.10083327392135809,0.4007716864220598,0.95,10000,True
A_LOGISTIC_REGRESSION,A_DECISION_TREE,quadratic_weighted_kappa,0.5140452012529773,0.5136061792220851,0.22524466348266386,0.7925402456826498,0.95,10000,True
A_LOGISTIC_REGRESSION,B_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.18459106279652582,0.18485880630063714,-0.06467132524968137,0.42231582852415345,0.95,10000,True
A_LOGISTIC_REGRESSION,B_RIDGE,quadratic_weighted_kappa,0.23546610732631845,0.23473109653025284,0.022556025384933134,0.46002564964952486,0.95,10000,True
A_LOGISTIC_REGRESSION,B_COMPLEMENT_NB,quadratic_weighted_kappa,0.030203470461608428,0.03350063871807496,-0.1665796406608232,0.24000858220008153,0.95,10000,True
A_LOGISTIC_REGRESSION,B_DECISION_TREE,quadratic_weighted_kappa,0.46019157141002975,0.4606147843092207,0.19116098431968306,0.7289606250677155,0.95,10000,True
A_LOGISTIC_REGRESSION,C_LOGISTIC_REGRESSION,quadratic_weighted_kappa,0.0757135630183422,0.07623152437670097,-0.18783329384893277,0.3398633150485962,0.95,10000,True
A_LOGISTIC_REGRESSION,C_RIDGE,quadratic_weighted_kappa,0.13675089861245604,0.13693639261120974,-0.13114191829318755,0.409860183920009,0.95,10000,True
A_LOGISTIC_REGRESSION,C_COMPLEMENT_NB,quadratic_weighted_kappa,0.040230608846535953,0.04262458525720566,-0.15693024423155,0.25289950569002156,0.95,10000,True
A_LOGISTIC_REGRESSION,C_DECISION_TREE,quadratic_weighted_kappa,0.2659949875919767,0.2700313736620619,0.01944927297794896,0.5214766274795588,0.95,10000,True
A_LOGISTIC_REGRESSION,D_FROZEN_MINILM,quadratic_weighted_kappa,0.17400726357620888,0.17237381429148707,-0.13760105757059785,0.5016865842971151,0.95,10000,True
A_LOGISTIC_REGRESSION,E_FINETUNED_BERT,quadratic_weighted_kappa,0.06801226313421427,0.06979856585268644,-0.2301148925903921,0.3745950550466453,0.95,10000,True
A_LOGISTIC_REGRESSION,BASELINE_MOST_FREQUENT,quadratic_weighted_kappa,0.3708865660085172,0.37365808320803545,0.1452135738157845,0.5891838735328064,0.95,10000,True
A_LOGISTIC_REGRESSION,BASELINE_STRATIFIED_RANDOM,quadratic_weighted_kappa,0.3842589019884588,0.38826360031353135,0.015691198894132508,0.7400528415942137,0.95,10000,True
A_RIDGE,A_COMPLEMENT_NB,quadratic_weighted_kappa,0.008624970813098876,0.012463657041198369,-0.34147752766597284,0.35273154195074324,0.95,10000,True
