row_index,label,certainty_score,hedge_score,log1p_likes,log1p_comments,log1p_views,log1p_duration_sec
0,2,0.9803921568627451,4.901960784313726,8.616857514529183,5.049856007249537,11.680632413394541,3.6375861597263857
1,3,0.0,0.975609756097561,12.102832103361967,8.644882552557126,15.061747995706387,4.127134385045092
2,4,1.951219512195122,1.4634146341463414,10.340128278112742,7.490529402060711,13.516725744222754,4.31748811353631
5,1,1.8867924528301887,0.0,10.275809442051038,7.16703787691222,14.24213227827799,3.1780538303479458
6,4,2.6595744680851063,2.6595744680851063,9.943813424007693,7.083387847625295,12.56760676453237,4.31748811353631
8,1,0.0,5.084745762711864,10.179830580317915,7.583756300707112,13.979847184449474,3.713572066704308
9,3,1.1976047904191616,1.7964071856287425,11.205258348585364,7.257707677160043,13.88373820340711,3.9318256327243257
10,4,3.045685279187817,2.5380710659898478,9.069122370060645,6.285998094508865,11.992192307870049,4.2626798770413155
11,2,0.9578544061302682,0.5747126436781609,5.6937321388027,2.8903717578961645,8.378390788535778,4.852030263919617
12,2,0.0,4.972375690607735,5.3612921657094255,2.70805020110221,9.653229708730347,4.110873864173311
13,3,1.2048192771084338,3.0120481927710845,9.0217190130337,5.857933154483459,12.480680876544632,4.110873864173311
14,2,0.6060606060606061,2.4242424242424243,10.126751096650914,6.946013991099227,13.335320826073385,4.110873864173311
15,1,2.34375,0.0,1.791759469228055,0.0,5.393627546352362,4.0943445622221
17,1,0.7518796992481203,1.8796992481203008,4.143134726391533,1.791759469228055,6.806829360392176,4.110873864173311
18,1,2.255639097744361,2.255639097744361,2.0794415416798357,0.0,4.770684624465665,3.9512437185814275
19,1,0.0,0.0,7.687080155783135,4.060443010546419,11.54879441338447,3.4657359027997265
20,2,0.0,1.9455252918287937,8.896588071791218,5.476463551931511,11.893681127013005,4.61512051684126
21,2,0.0,8.24742268041237,10.119888422982946,6.588926477533519,13.067695976062021,3.4339872044851463
22,3,2.5641025641025643,2.5641025641025643,10.851083134238696,6.922643891475888,13.970824846250833,3.713572066704308
23,3,2.027027027027027,1.6891891891891893,10.581850990103325,7.3453648404168685,13.078181578390055,4.6443908991413725
25,1,1.8987341772151898,3.7974683544303796,7.02197642307216,3.367295829986474,9.669472621333282,4.007333185232471
27,1,4.819277108433735,0.0,3.332204510175204,0.0,7.502738210754851,3.8066624897703196
28,3,2.0833333333333335,1.0416666666666667,4.927253685157205,1.9459101490553132,7.29505641646263,4.0943445622221
29,2,0.0,1.6042780748663101,7.366445148327599,3.6888794541139363,10.196194479235656,4.07753744390572
30,4,0.0,3.3057851239669422,6.364750756851911,2.6390573296152584,9.36314729221994,4.07753744390572
31,1,0.5235602094240838,4.18848167539267,3.367295829986474,0.6931471805599453,7.653494909661253,4.532599493153256
32,1,0.6329113924050633,1.2658227848101267,5.5254529391317835,3.5553480614894135,9.472012088995733,3.784189633918261
33,1,0.0,5.434782608695652,8.333270353255308,5.204006687076795,11.7968705636251,3.7612001156935624
34,3,0.5813953488372093,2.9069767441860463,7.462789157412448,3.871201010907891,9.84977027003014,4.04305126783455
35,1,2.4574669187145557,1.5122873345935728,5.605802066295998,1.3862943611198906,7.606387389772652,4.897839799950911
36,2,3.041825095057034,1.1406844106463878,10.341000272613067,8.633731007664188,13.370422735911337,4.51085950651685
37,3,3.5714285714285716,1.7857142857142858,3.4657359027997265,0.0,7.331714969726466,3.295836866004329
38,2,0.8130081300813008,0.8130081300813008,6.51471269087253,3.1780538303479458,10.027782671807735,4.110873864173311
39,3,2.2831050228310503,2.2831050228310503,4.700480365792417,3.828641396489095,9.651365655482898,4.04305126783455
40,4,1.8691588785046729,0.0,3.044522437723423,3.367295829986474,6.674561391814426,3.2188758248682006
41,4,4.1450777202072535,3.1088082901554404,5.6240175061873385,5.288267030694535,9.080801000621198,4.02535169073515
42,1,1.530612244897959,0.5102040816326531,2.0794415416798357,1.0986122886681098,6.091309882077698,4.127134385045092
44,1,0.8403361344537815,5.042016806722689,6.9584483932976555,2.833213344056216,9.908276069267925,3.6635616461296463
45,1,2.6315789473684212,2.1052631578947367,7.300472814267799,4.007333185232471,9.834083882397248,4.02535169073515
47,3,1.675977653631285,1.675977653631285,8.607033895416027,5.123963979403259,11.692944372701508,3.970291913552122
48,2,0.9852216748768473,4.433497536945813,8.712595487748722,5.043425116919247,11.515552012572108,4.127134385045092
49,1,1.2195121951219512,6.097560975609756,3.8066624897703196,1.6094379124341003,8.010027528481734,3.258096538021482
50,1,0.9900990099009901,0.0,2.4849066497880004,1.3862943611198906,7.02108396428914,3.713572066704308
51,2,1.3513513513513513,3.3783783783783785,6.154858094016418,2.995732273553991,9.004299728561636,3.9318256327243257
52,3,1.8404907975460123,3.067484662576687,6.336825731146441,2.5649493574615367,9.202005735186125,3.912023005428146
54,1,1.1764705882352942,3.5294117647058822,7.2813856635702825,4.543294782270004,11.433492571322319,3.4657359027997265
55,1,3.2967032967032965,4.395604395604396,8.685922794690725,4.553876891600541,12.746045336300952,3.4011973816621555
56,4,4.37956204379562,1.4598540145985401,10.366812680153265,6.272877006546167,13.13245627235218,3.4965075614664802
57,1,1.2987012987012987,3.896103896103896,8.4906438561827,0.0,12.67336635626127,3.784189633918261
59,3,0.6535947712418301,1.9607843137254901,9.931686206894806,6.306275286948016,12.451517660231815,3.970291913552122
60,3,0.49504950495049505,4.455445544554456,8.149890544402423,4.5217885770490405,11.338095773934569,3.9889840465642745
62,2,0.5555555555555556,0.0,9.647562511697538,5.537334267018537,12.578646036735433,4.007333185232471
63,3,1.8987341772151898,2.848101265822785,4.59511985013459,1.3862943611198906,7.1853870155804165,4.442651256490317
64,1,0.5376344086021505,0.5376344086021505,3.713572066704308,0.0,6.914730892718563,4.0943445622221
65,1,1.0526315789473684,1.0526315789473684,2.1972245773362196,0.0,6.20050917404269,3.5553480614894135
66,1,3.0303030303030303,2.272727272727273,1.6094379124341003,0.0,4.060443010546419,3.912023005428146
67,2,2.952029520295203,2.952029520295203,10.628036496235605,7.980707820869669,13.612141447274494,4.31748811353631
