population,label,feature,count,mean,sample_std,minimum,q1,median,q3,maximum
full_labelled_sample,1,certainty_score,101,1.4626875817589824,1.4125731395649683,0.0,0.0,1.183431952662722,2.34375,6.030150753768845
full_labelled_sample,1,hedge_score,101,2.3176395466562645,1.7050758027626889,0.0,1.0526315789473684,2.0618556701030926,3.5294117647058822,7.216494845360825
full_labelled_sample,1,log1p_likes,101,5.2574888804218185,2.8153774890226075,0.0,3.044522437723423,5.5254529391317835,7.621195162809845,10.275809442051038
full_labelled_sample,1,log1p_comments,101,2.3711650745880766,2.1160483983051717,0.0,0.0,1.9459101490553132,4.2626798770413155,7.583756300707112
full_labelled_sample,1,log1p_views,101,8.923253731156834,2.527996998261632,1.9459101490553132,7.02108396428914,9.160834952072344,10.75442876783813,14.24213227827799
full_labelled_sample,1,log1p_duration_sec,101,3.975270760887095,0.33098190730221855,3.1780538303479458,3.784189633918261,4.007333185232471,4.127134385045092,4.997212273764115
full_labelled_sample,2,certainty_score,52,1.2174372959986477,1.0641152404008938,0.0,0.4332771342071391,1.079694986166408,1.8141372830772633,4.761904761904762
full_labelled_sample,2,hedge_score,52,2.3280353434064667,1.931757044985149,0.0,1.1053685059600276,2.03255391225316,3.097405059862398,10.185185185185185
full_labelled_sample,2,log1p_likes,52,6.067513961663344,3.0042411990620965,0.0,4.011548414806061,6.504288173536645,8.122643622946264,13.284944704955304
full_labelled_sample,2,log1p_comments,52,3.1905134214078577,2.3794753614959396,0.0,0.9972460116410686,3.198464827608073,4.448465472031383,9.602990383037504
full_labelled_sample,2,log1p_views,52,9.533326597067315,2.6339943040778513,3.4965075614664802,7.9248029898495105,9.708727596966483,11.271824721596944,16.565823826741862
full_labelled_sample,2,log1p_duration_sec,52,4.163134172022319,0.5057408899486104,2.833213344056216,3.9889840465642745,4.110873864173311,4.385568943019475,5.170483995038151
full_labelled_sample,3,certainty_score,73,1.3997800916862386,1.1080245396940225,0.0,0.6535947712418301,1.2048192771084338,1.8987341772151898,4.587155963302752
full_labelled_sample,3,hedge_score,73,2.0177695292362037,1.465945057691926,0.0,0.8264462809917356,1.8018018018018018,2.9069767441860463,5.555555555555555
full_labelled_sample,3,log1p_likes,73,6.651201949616258,2.870459509981608,0.0,5.017279836814924,6.964135612418245,8.607033895416027,12.102832103361967
full_labelled_sample,3,log1p_comments,73,3.569685656306841,2.305949871083037,0.0,1.791759469228055,3.4965075614664802,5.2832037287379885,8.886270902072013
full_labelled_sample,3,log1p_views,73,9.896683262863057,2.573784140797913,3.091042453358316,8.301273485191347,10.11843762882181,11.868051209519031,15.061747995706387
full_labelled_sample,3,log1p_duration_sec,73,4.024052000571042,0.3500752379686423,3.295836866004329,3.8501476017100584,3.9889840465642745,4.127134385045092,5.099866427824199
full_labelled_sample,4,certainty_score,20,1.7278462691779304,1.5499953996858695,0.0,0.0,1.8221534037493778,2.6930048734101986,4.444444444444445
full_labelled_sample,4,hedge_score,20,1.6317202470812042,1.1192089328463413,0.0,0.9237982859272139,1.4616343243724408,2.5684469165136625,3.3333333333333335
full_labelled_sample,4,log1p_likes,20,5.982127204353022,2.915352597288693,1.0986122886681098,3.679995833013826,6.38000617748368,7.793800224762371,10.366812680153265
full_labelled_sample,4,log1p_comments,20,3.376047534334598,2.430630328463107,0.0,1.7340856839585124,3.461321945737944,5.137764009097921,7.490529402060711
full_labelled_sample,4,log1p_views,20,9.258194787197018,2.7505442520743815,4.04305126783455,7.393799414052038,9.22197414642057,11.18691009992948,13.516725744222754
full_labelled_sample,4,log1p_duration_sec,20,3.931373176019916,0.4648402287703344,3.2188758248682006,3.488814646799792,4.051444567320434,4.276381936165064,4.875197323201151
training_only,1,certainty_score,81,1.517012904889317,1.471901296666012,0.0,0.45454545454545453,1.1976047904191616,2.34375,6.030150753768845
training_only,1,hedge_score,81,2.425145554861643,1.728326178141728,0.0,1.075268817204301,2.197802197802198,3.7383177570093458,7.216494845360825
training_only,1,log1p_likes,81,5.286380851936495,2.7777784965715204,0.0,3.332204510175204,5.375278407684165,7.573017256052546,10.275809442051038
training_only,1,log1p_comments,81,2.363294006236064,2.1159975910740205,0.0,0.0,1.791759469228055,4.174387269895637,7.583756300707112
training_only,1,log1p_views,81,9.034168165368602,2.403027376275536,4.060443010546419,7.101675971619444,9.160834952072344,10.774864596986772,14.24213227827799
training_only,1,log1p_duration_sec,81,3.9687206888979034,0.3188991978082612,3.1780538303479458,3.784189633918261,4.007333185232471,4.127134385045092,4.897839799950911
training_only,2,certainty_score,41,1.1901324380664187,1.1147101980389627,0.0,0.411522633744856,0.9578544061302682,1.834862385321101,4.761904761904762
